id,name,longitude,latitude,demand
Guiness Storehouse,Guiness Storehouse,-6.28655,53.341613,-1
Galway Warehouse,Galway Warehouse,-9.035007,53.302304,-2
Limerick Warehouse,Limerick Warehouse,-8.570216,52.642903,-2
1229,Flavery's Bar,-10.053539,52.1519862,64
2310,The Castle,-7.6940966,52.4658481,39
694,C Central,-6.2647717,53.3331138,78
509,Trinity Sports & Leisure Club & Bar,-6.1613376,53.4022449,21
1337,Karma Nightclub,-7.9383159,53.4238403,29
1481,O'Donoghues Bar,-8.8676404,53.2083997,19
659,Long Charlies,-8.1974996,52.8611357,39
1071,The Rest Pub,-8.5706919,51.9127421,16
1264,Gilligans Bar,-8.9980539,53.7201056,54
2762,John Joe’s Bar,-8.5920019,54.6323848,96
313,The Cabra House,-6.298585,53.3674123,64
2430,Urban Brewing,-6.2480644,53.3491172,10
967,Hayes' Pub,-9.1179905,51.5652821,54
187,Whelan's,-7.3040239,52.9490653,64
1875,Finlays,-7.1804238,53.1552097,44
2798,Ardhú bar,-8.649837,52.6675998,19
494,The Castle Lodge,-7.9308105,52.1380745,81
208,The Gregory Tavern,-6.6676302,53.4001481,77
408,Ollie's Lounge & Bar,-6.2240158,53.2767305,7
841,The Jug,-6.2746135,53.3412484,30
1522,An Bodhran Pub,-8.2719184,52.2663276,10
1272,Bunny's Bar,-7.6139725,53.3431037,12
2581,Biddy's o'Barnes,-7.9709894,54.7096214,34
87,Kelehans Bar,-9.0936357,53.2966094,21
1008,The Gate Bar,-8.6195448,52.6661155,23
260,Dolan's Pub,-8.6382088,52.6588318,92
2010,The Travellers Rest,-9.3032945,51.6293318,88
857,Valley Inn,-8.399324,52.6505835,78
1642,Cumiskey's,-6.2720844,53.354343,37
987,The Mission,-6.2836885,53.3470952,19
1632,Langtons,-7.2482193,52.65327,8
2899,The Blackpool Tavern,-8.4706168,51.9140814,74
890,Briar Rose,-8.4469897,51.883475,38
1144,Blanchfield's Pub,-6.9304473,52.4906437,96
823,The Harold House,-6.2752027,53.3300206,73
824,Tamangoes,-6.1239373,53.4353101,72
2453,Green's,-8.9360319,53.1389706,47
1819,Dunphy's Bar and Lounge,-7.3275835,52.4615187,54
1368,Grange Tavern,-8.7843308,51.6043047,60
487,O'Sullivans Bar,-9.7244972,51.4693706,90
1688,Hasset's,-8.8278748,52.95486,61
1179,The Hideout House,-6.2569405,53.3596909,57
715,Harrington's Bar,-9.9094699,51.6521277,8
492,The Lord Edward,-6.2701176,53.3430824,12
1043,The Seighe Mór,-6.831135,53.4144384,59
913,Brereton's,-6.9799364,52.9928679,82
91,G.M. Shortt,-8.6492441,52.9258682,22
2693,The White Lady Bar,-8.519623,51.7013822,68
1906,The Castle Hotel,-9.1149083,51.7216806,89
728,Royal Oak Tavern,-6.9853051,52.7022588,83
145,The Bleeding Horse,-7.078005,53.0067131,87
1254,Regans,-9.0163477,53.3751114,26
1778,The Patrick's Well,-8.3044075,53.9725529,84
